Authors	Record Count	
Gallo E	431	
Goldstein J	431	
Ivanov A	431	
Johns W	431	
Kim DH	431	
Locci E	431	
Meyer M	431	
Moortgat F	431	
Mueller R	431	
Olsen J	431	
Parker A	431	
Pauss F	431	
Sharma V	431	
Taylor D	431	
Tenchini R	431	
Tonelli G	431	
Uvarov L	431	
Abbaneo D	430	
Albergo S	430	
Band R	430	
Baringer P	430	
Barnes VE	430	
Bencze G	430	
Benelli G	430	
Blumenfeld B	430	
Bodek A	430	
Bose T	430	
Bouhali O	430	
Casarsa M	430	
Chertok M	430	
Cuevas J	430	
Daskalakis G	430	
Goncharov M	430	
Green D	430	
Greene S	430	
Ha S	430	
Harper S	430	
Hatakeyama K	430	
Heller R	430	
Husemann U	430	
Jung H	430	
Kilminster B	430	
Kuznetsova E	430	
Lannon K	430	
Malvezzi S	430	
Mariani V	430	
Mclean C	430	
Mitra S	430	
Mnich J	430	
Molnar J	430	
Moon CS	430	
Muller T	430	
Ni H	430	
Nicolaou C	430	
Ozdemir K	430	
Palmer C	430	
Park IC	430	
Paulini M	430	
Paus C	430	
Pekkanen J	430	
Raidal M	430	
Reis T	430	
Rizzi A	430	
Romero L	430	
Savoy-navarro A	430	
Scodellaro L	430	
Selvaggi M	430	
Smith N	430	
Thom J	430	
Tosi S	430	
Winer BL	430	
Wolf R	430	
Wright D	430	
Xiao M	430	
Yang UK	430	
Yang YC	430	
Yoo HD	430	
Albert A	429	
Alexander J	429	
Azhgirey I	429	
Bhattacharya R	429	
Chawla R	429	
Cheng T	429	
Cho S	429	
Cremonesi M	429	
Donato S	429	
Dube S	429	
Francis B	429	
Gilbert A	429	
Herndon M	429	
Jindariani S	429	
Kapoor A	429	
Kim JS	429	
Klein K	429	
Konigsberg J	429	
Lezki S	429	
Liao H	429	
Lyons L	429	
Malcles J	429	
Massironi A	429	
Mohammadi A	429	
Moran D	429	
Mundim L	429	
Nayak A	429	
Nguyen D	429	
Oh YD	429	
Pandey S	429	
Pape L	429	
Popov V	429	
Purohit A	429	
Rabbertz K	429	
Ristori L	429	
Rose A	429	
Roy T	429	
Sanchez J	429	
Sarkar S	429	
Schulz J	429	
Tao J	429	
Thomas L	429	
Viret S	429	
West C	429	
Wood D	429	
Abercrombie D	428	
Adam W	428	
Adams MR	428	
Aggleton R	428	
Akgun B	428	
Alimena J	428	
Almond J	428	
Alyari M	428	
Amin N	428	
Amsler C	428	
Andrea J	428	
Andreev V	428	
Andreev Y	428	
Andrews MB	428	
Arcaro D	428	
Asawatangtrakuldee C	428	
Azarkin M	428	
Aziz T	428	
Bachtis M	428	
Baden A	428	
Bahinipati S	428	
Bainbridge R	428	
Bakhshiansohi H	428	
Barbagli G	428	
Barney D	428	
Bartek R	428	
Baty A	428	
Bayshev I	428	
Beauceron S	428	
Bein S	428	
Belforte S	428	
Belloni A	428	
Belyaev A	428	
Bendavid J	428	
Bergauer T	428	
Berry D	428	
Bialkowska H	428	
Blinov V	428	
Bloch D	428	
Bluj M	428	
Boimska B	428	
Bonacorsi D	428	
Brandt S	428	
Branson JG	428	
Brigljevic V	428	
Brown RM	428	
Bundock A	428	
Bunkowski K	428	
Burkett K	428	
Burt K	428	
Butler PH	428	
Butz E	428	
Bylinkin A	428	
Bylsma B	428	
Cabrillo IJ	428	
Caillol C	428	
Cakir A	428	
Caminada L	428	
Campagnari C	428	
Canelli MF	428	
Carvalho W	428	
Cavallo FR	428	
Cavanaugh R	428	
Chao Y	428	
Chatterjee RM	428	
Chen GM	428	
Chen PH	428	
Chenarani S	428	
Chhibra SS	428	
Chou JP	428	
Chudasama R	428	
Chwalek T	428	
Ciangottini D	428	
Cipriani M	428	
Citron M	428	
Cittolin S	428	
Claes DR	428	
Clerbaux B	428	
Cole JE	428	
Colino N	428	
Collard C	428	
Contardo D	428	
Cooper SI	428	
Cooperstein S	428	
Cossutti F	428	
Cousins R	428	
Cox B	428	
Cox PT	428	
Cristella L	428	
Czellar S	428	
Dabrowski A	428	
Damarseckin S	428	
Damgov J	428	
Dasu S	428	
De Lima RT	428	
Dejardin M	428	
Delaere C	428	
Delcourt M	428	
Dermenev A	428	
Dev N	428	
Diemoz M	428	
Dierlamm A	428	
Dilsiz K	428	
Dinardo ME	428	
Dittmar M	428	
Dittmer S	428	
Dobson M	428	
Dolen J	428	
Dordevic M	428	
Doroba K	428	
Dremin I	428	
Dugad S	428	
Dupont N	428	
Duric S	428	
Dutta V	428	
Eckerlin G	428	
Ecklund KM	428	
Elliott-peisert A	428	
Eno SC	428	
Epshteyn V	428	
Erdmann W	428	
Eusebi R	428	
Evangelou I	428	
Fanfani A	428	
Fangmeier C	428	
Faure JL	428	
Favart L	428	
Ferencek D	428	
Ferguson T	428	
Ferri F	428	
Field RD	428	
Finger M	428	
