NR,AU,AUNR
n1010,"Guerrero Clavijo, Manuel Alejandro",2.0
n1010,"Bedoya Olaya, Allis Dahiiana",3.0
n1011,"Caro Torres, Maria Catalina",1.0
n1011,"Sarmiento Salamanca, Yuri Natali",2.0
n1011,"Camargo Cely, Jennyfer Paola",3.0
n1011,"Bautista Aguilar, Jose Leonardo",4.0
n1012,"Gomez-Echavarria, Alejandro",1.0
n1012,"Ugarte, Juan P.",2.0
n1012,"Tobon, Catalina",3.0
n1013,"Bonilla, Carlos E.",1.0
n1013,"Esguerra, Jose",2.0
n1013,"Diaz, Sara Mendoza",3.0
n1013,"Alvarez, Angelina",4.0
n1013,"Morales, Laura",5.0
n1014,"Penuela, O.",1.0
n1014,"Torres, L.",2.0
n1014,"Forero, M. D. R.",3.0
n1014,"Rivera, M.",4.0
n1014,"Vizcaya, D.",5.0
n1014,"Franco, J. -S.",6.0
n1015,"Parra-Medina, Rafael",1.0
n1015,"Ramirez-Clavijo, Sandra",2.0
n1016,"Castro-Huertas, Valentina",1.0
n1016,"Forero, Dimitri",2.0
n1017,"Anabel Ojeda-Eraso, Nasly",1.0
n1017,"Jurado-Romero, Natalia",2.0
n1017,"Ojeda-Rosero, Elizabeth",3.0
n1018,"Ramirez, Asdrubal A.",1.0
n1018,"Gil, Ivan",2.0
n1018,"Gordillo, Gerardo",3.0
n1018,"Latifi, Abderrazak M.",4.0
n1019,"Segovia-Chaves, Francis",1.0
n1019,"Vinck-Posada, Herbert",2.0
n1020,"Rozo-Ortiz, Edwar J.",1.0
n1020,"Vargas-Rodriguez, Ledmar J.",2.0
n1020,"Martinez-Bautista, Sara M.",3.0
n1020,"Bolivar-Cordoba, Paola A.",4.0
n1021,"Jimenez, L. F.",1.0
n1021,"Galindo Pedraza, J. L.",2.0
n1021,"Lutz Pena, J. R.",3.0
n1021,"Izquierdo, M. A.",4.0
n1021,"Carrillo, J. A.",5.0
n1021,"Rivillas, V",6.0
n1022,"Guerrero, Fabio G.",1.0
n1022,"Garcia-Banos, Angel",2.0
n1023,"Castro, John-Henry",1.0
n1023,"Ruiz-Colorado, Angela",2.0
n1024,"Gomez Betancourt, Gonzalo",1.0
n1024,"Lagos Cortes, Diogenes",2.0
n1024,"Betancourt Ramirez, Jose",3.0
n1024,"Millan Payan, Javier",4.0
n1025,"Mario Aponte-Motta, Jorge",1.0
n1026,"Patino F, Felipe",1.0
n1026,"Herrera F, Victor",2.0
n1026,"Lopez D, Daniela",3.0
n1026,"Parra S, Jaime",4.0
n1027,"Planes Pedreno, Jose Antonio",1.0
n1027,"Rodriguez Serrano, Aaron",2.0
n1028,"Gaviria, Ximena",1.0
n1028,"Victoria Borrachero, Maria",2.0
n1028,"Paya, Jordi",3.0
n1028,"Maria Monzo, Jose",4.0
n1028,"Ivan Tobon, Jorge",5.0
n1029,"Gonzalez-Velez, Abel",1.0
n1029,"Pino-Villareal, Luis E.",2.0
n1029,"Barrera-Barinas, Alexander",3.0
n1029,"Castillo-Niuman, Andrea",4.0
n1029,"Tolosa-Perez, Erica N.",5.0
n1029,"Castelblanco, Diana, I",6.0
n1029,"Pinzon-Florez, Carlos E.",7.0
n1029,"Yomayusa, Nancy",8.0
n1030,"Areiza-Hurtado, Mauricio",1.0
n1030,"Vega-Posada, Carlos A.",2.0
n1030,"Aristizabal-Ochoa, J. Dario",3.0
n1031,"Bolivar-Suarez, Yolima",1.0
n1031,"Gomez, Jorge Arturo Martinez",2.0
n1031,"Yanez-Penunuri, Libia Yanelli",3.0
n1031,"Anacona, Cesar Armando Rey",4.0
n1031,"Gomez, Ana Milena Gaviria",5.0
n1032,"Vivas, E. I.",1.0
n1032,Pena Lara D.,2.0
n1032,"Alvaro, Garcia Muriel",3.0
n1033,"Vasquez-Quintero, Sol de Amor",1.0
n1033,"Toro-Zapata, Hernan Dario",2.0
n1033,"Prieto-Medellin, Dennis Alexander",3.0
n1034,"Salazar-Cabrera, Ricardo",1.0
n1034,"Pachon de la Cruz, Alvaro",2.0
n1034,"Madrid Molina, Juan Manuel",3.0
n1035,"Armando Bautista-Diaz, Diego",1.0
n1035,"Francisco Suarez-Moreno, Mario",2.0
n1035,"Gomez-Amaya, Jhonny",3.0
n1036,"Bonilla, N. C.",1.0
n1036,"Rojas-Bahamon, M. J.",2.0
n1036,"Arbelaez, D. F.",3.0
n1037,"Correa-Orozco, Jorge",1.0
n1037,"Cohen-Cardenas, Elber",2.0
n1038,"Gonzalez, Gina",1.0
n1038,"Gonzalez, Jessica",2.0
n1038,"Velandia, Maria",3.0
n1038,"Suarez, Fabio",4.0
n1038,"Arango, Eliana",5.0
n1038,"Ochoa, Andres",6.0
n1038,"Mendoza, Victor",7.0
n1039,"Cortes Rojas, Diana Alejandra",1.0
n1039,"Belalcazar, Sandra",2.0
n1039,"Rodriguez Cediel, Ana Carolina Carolina",3.0
n1039,"Roca, Daniela",4.0
n1039,"Camila Plata, Maria",5.0
n1039,"Rosenstiehl, Shirley",6.0
n1039,"Carvajal, Claudia",7.0
n1039,"Rodriguez, Francisco J.",8.0
n1040,"Marcela Achury, D. M. Diana",1.0
n1040,"Gonzalez, R. G.",2.0
n1040,"Garcia, A. G.",3.0
n1040,"Marino, A. M.",4.0
n1040,"Bohorquez, W. B.",5.0
n1040,"Aponte, L. A.",6.0
n1041,"Romero, M.",1.0
n1041,"Barrera, J.",2.0
n1041,"Carrasquilla-Sotomayor, M.",3.0
n1041,"Ruiz, J.",4.0
n1041,"Lopez, M. C.",5.0
n1041,"Rojas, M.",6.0
n1041,"Beltran, C.",7.0
n1042,"Rios, C.",1.0
n1042,"Abreu, A.",2.0
n1042,"Balcazar, C. M.",3.0
n1042,"Castano, O.",4.0
n1042,"Casanova, M. E.",5.0
n1042,"Muriel, A.",6.0
n1042,"Velasco, M.",7.0
n1042,"Carvajal, R.",8.0
n1043,"Vergara Figueroa, Aurora",1.0
n1043,"Arboleda Hurtado, Katherine",2.0
n1044,"Alarcon Garcia, Sharon Johana",1.0
n1045,"Prado, Carlos Andres Clavijo",1.0
n1045,"Gallego, Alejandra Chauvez",2.0
n1045,"Ardila, M. Maria Paula",3.0
n1046,"Arteaga, Jacob Vargas",1.0
n1046,"Gravini-Donado, Marbel Lucia",2.0
n1046,"Riva, Lorenzo Domenico Zanello",3.0
n1047,"Buitrago-Duque, Carlos",1.0
n1047,"Castaneda, Raul",2.0
n1047,"Garcia-Sucerquia, Jorge",3.0
n1048,"Roa-Casas, Catalina",1.0
n1049,"Cohen, Ismael",1.0
n1049,"Wagner, Elmar",2.0
n1050,"David Adams, Christian",1.0
n1050,"Syro, Daniel",2.0
n1050,"Felipe Llano, Juan",3.0
n1050,"Felipe Betancur, Juan",4.0
n1051,"Otalora Barrero, D. M.",1.0
n1051,"Olaya, J. J.",2.0
n1051,"Duarte Moller, A.",3.0
n1052,"Restrepo-Payan, Hernando",1.0
n1052,"Zapata-Ceballos, Katherine",2.0
n1052,"Andrea Tamayo-Gonzalez, Nathalia",3.0
n1052,"Salinas-Builes, Jairo",4.0
n1052,"Escobar-Araque, Laura",5.0
n1052,"Maria Rodriguez-Padilla, Libia",6.0
n1053,"Hernandez-Ruiz, Alfredo",1.0
n1053,"Jose Ortega, Hector",2.0
n1053,"Camilo Aguirre-Acevedo, Daniel",3.0
n1054,"Ramos, German A.",1.0
n1054,"Ruget, Ricardo Isaza",2.0
n1054,"Costa-Castello, Ramon",3.0
n1055,"Benedetti, Ines",1.0
n1055,"Barrios Garcia, Lia",2.0
n1055,"Rebollo, Juan",3.0
n1056,"Sossa Melo, Claudia Lucia",1.0
n1056,"Marcela Chalela, Claudia",2.0
n1056,"Ines Jimenez, Sara",3.0
n1056,"Antonio Salazar, Luis",4.0
n1056,"Luna-Gonzalez, Maria",5.0
n1056,"Rosales, Manuel",6.0
n1056,"Ardila-Baez, Manuel",7.0
n1056,"Serrano, Sergio",8.0
n1056,"Espinosa, Katherine",9.0
n1056,"Baez, Julian",10.0
n1056,"Leonardo Reyes, David",11.0
n1056,"Maria Pena, Angela",12.0
n1057,"Rojas Zuleta, Wilmer Gerardo",1.0
n1057,"Felipe Diaz, Oscar Jair",2.0
n1057,"Giraldo Herrera, Claudia Lucia",3.0
n1057,"Pantoja Marquez, Adelis Enrique",4.0
n1057,"Duque Zapata, Natalia",5.0
n1057,"Vasquez Jaramillo, Monica",6.0
n1057,"Orozco Gonzalez, Catalina",7.0
n1057,"Donado Gomez, Jorge Hernando",8.0
n1058,"Sossa, Claudia",1.0
n1058,"Chalela, Claudia",2.0
n1058,"Ortiz, Maria",3.0
n1058,"Luna-Gonzalez, Maria",4.0
n1058,"Rosales, Manuel",5.0
n1058,"Pena, Angela",6.0
n1058,"Salazar, Luis",7.0
n1058,"Jimenez, Sara",8.0
n1059,"Sanabria Candia, Daniela",1.0
n1059,"Prieto Garces, Sergio",2.0
n1059,"Estrada Maya, Juan",3.0
n1059,"Jaramillo Nieto, Andres",4.0
n1059,"Cardenas, Yenny",5.0
n1060,"Fernandez, S. A.",1.0
n1060,"Perez, A. L.",2.0
n1060,"Medina, P. D.",3.0
n1061,"Aguirre Roman, Javier Orlando",1.0
n1061,"Rangel Quinonez, Henry Sebastian",2.0
n1062,"Florez, Rosaura Arrieta",1.0
n1062,"Girado, Lina Luz Cordoba",2.0
n1062,"Uparela, Katleen Marun",3.0
n1062,"Contreras, Rafaela Sayas",4.0
n1063,"Meneses-Echavez, Jose F.",1.0
n1063,"Loaiza-Betancur, Andres F.",2.0
n1063,"Triana-Reina, Hector R.",3.0
n1063,"Diaz-Lopez, Victor A.",4.0
n1063,"Echavarria-Rodriguez, Andres M.",5.0
n1064,"Rodriguez-Florido, Fernando",1.0
n1064,"Santos-Moreno, Pedro",2.0
n1064,"Carolina Buitrago-Garcia, Diana",3.0
n1064,"Sanchez-Vanegas, Guillermo",4.0
n1064,"Mercedes Rueda-Gutierrez, Maria",5.0
n1064,"Castano-Sierra, Zohelia",6.0
n1065,"Castellanos, C.",1.0
n1065,"Pareja, M.",2.0
n1065,"Zambrano, L.",3.0
n1065,"Davila, F.",4.0
n1066,"Nieto, Albaro",1.0
n1066,"Lopez, Maria",2.0
n1066,"Ceballos, Maria",3.0
n1066,"Duque, Manuel",4.0
n1066,"De los Rios, Juan",5.0
n1066,"Plazas, Luis",6.0
n1066,"Chancy, Margarita",7.0
n1066,"Messa, Adriana",8.0
n1067,"Panesso-Gomez, Santiago",1.0
n1067,"Pavia, Paula",2.0
n1067,"Enrique Rodriguez-Mantilla, Ivan",3.0
n1067,"Lasso, Paola",4.0
n1067,"Orozco, Luis A.",5.0
n1067,"Cuellar, Adriana",6.0
n1067,"Puerta, Concepcion J.",7.0
n1067,"de Molano, Belen Mendoza",8.0
n1067,"Gonzalez, John M.",9.0
n1068,"Pablo Zapata-Ospina, Juan",1.0
n1069,"Gomez-Villegas, Claudia P.",1.0
n1069,"Perez-Tellez, Camila",2.0
n1069,"Ochoa-Gaviria, Jorge",3.0
n1069,"Builes, Natalia",4.0
n1070,"Botero, Kelly",1.0
n1070,"Restrepo, Silvia",2.0
n1070,"Pinzon, Andres",3.0
n1071,"Garcia R, Dayra Yisel",1.0
n1071,"Cardenas H, Julian Fernando",2.0
n1071,"Silva Parra, Amanda",3.0
n1072,"Espana, Nohora",1.0
n1072,"Barco-Jimenez, John",2.0
n1072,"Pantoja, Andres",3.0
n1072,"Quijano, Nicanor",4.0
n1073,"Barros Camargo, Luis",1.0
n1073,"Quintero Marzola, Ivan Dario",2.0
n1073,"Cardenas Gomez, Juan Carlos",3.0
n1073,"Mendoza Daza, Leidy Tatiana",4.0
n1073,"Quintana Pajaro, Loraine",5.0
n1074,"Barragan-Cardenas, Andrea",1.0
n1074,"Urrea-Pelayo, Maribel",2.0
n1074,"Nino-Ramirez, Victor Alfonso",3.0
n1074,"Umana-Perez, Adriana",4.0
n1074,"Vernot, Jean Paul",5.0
n1074,"Parra-Giraldo, Claudia Marcela",6.0
n1074,"Fierro-Medina, Ricardo",7.0
n1074,"Rivera-Monroy, Zuly",8.0
n1074,"Garcia-Castaneda, Javier",9.0
n1075,"Gutierrez-Prieto, Sandra J.",1.0
n1075,"Perdomo-Lara, Sandra J.",2.0
n1075,"Diaz-Peraza, Jose M.",3.0
n1075,"Gonzalo Sequeda-Castaneda, Luis",4.0
n1076,"Camargo Martinez, Zahyra",1.0
n1076,"Uribe Alvarez, Graciela",2.0
n1076,"Caro Lopera, Miguel Angel",3.0
n1077,"Cesar Castellanos-Ramirez, Julio",1.0
n1077,"Ruiz, Alvaro J.",2.0
n1077,"Hidalgo-Martinez, Patricia",3.0
n1077,"Otero-Mendoza, Liliana",4.0
n1078,"Bocanegra Jimenez, Maria Andrea",1.0
n1078,"Insignares Cera, Silvana",2.0
n1079,"Ortegon Fernandez, Yamileth",1.0
n1079,"Alejandro Delgado, John",2.0
n1080,"Guzman Moreno, Renato",1.0
n1080,"Pedraza Arevalo, Laura Camila",2.0
n1081,"Uribe Parra, Daniel",1.0
n1081,"Pulido Martinez, Diana Constanza",2.0
n1081,"De Vries, Esther",3.0
n1082,"Villegas-Stellyes, Claudia-Elena",1.0
n1082,"Martinez-Sanchez, Lina-Maria",2.0
n1082,"Serna-Corredor, Diana-Sofia",3.0
n1082,"Jaramillo-Jaramill, Laura-Isabel",4.0
n1082,"Restrepo-Restrepo, Natalia-Andrea",5.0
n1083,"Moreno-Pirajan, J. C.",1.0
n1083,"Rodriguez-Estupinan, J. P.",2.0
n1083,"Giraldo, L.",3.0
n1083,"Cantor-Campos, Paula M.",4.0
n1084,"Plata Garcia, Clara",1.0
n1084,"Martin-Marin, Lorena",2.0
n1084,"Soler-Ramirez, Angela",3.0
n1084,"Rojas, Jorge A.",4.0
n1084,"Salazar, Maria P.",5.0
n1085,"Felipe Arbelaez-Campillo, Diego",1.0
n1085,"Ya, Tatsiy Vasyl",2.0
n1085,"Julissa Rojas-Bahamon, Magda",3.0
n1085,"Oleg, Danilyan G.",4.0
n1086,"Gonzalez-Cardozo, Lina Marcela",1.0
n1086,"Mora-Huertas, Claudia Elizabeth",2.0
n1086,"Gutierrez, Luis-Felipe",3.0
n1087,"Otalvaro Vergara, Juan David",1.0
n1087,"Valencia Sanchez, Wilder Geovanny",2.0
n1088,"Carolina Gonzalez-Ceballos, Diana",1.0
n1088,"Andres Mejia-Londono, Henry",2.0
n1088,"Alexis Ramirez-Jimenez, Jamer",3.0
n1088,"Augusto Monsalve-Garcia, Danilo",4.0
n1088,"David Hernandez-Arredondo, Juan",5.0
n1088,"de Jesus Cordoba-Gaona, Oscar",6.0
n1089,"Castano-Diez, Catalina",1.0
n1089,"Stella Alvarez-Castano, Luz",2.0
n1089,"Caicedo-Velasquez, Beatriz",3.0
n1089,"Cristina Ruiz-Buitrago, Isabel",4.0
n1089,"Valencia-Aguirre, Salome",5.0
n1090,"Castellanos, Fabio",1.0
n1090,"Amaya-Garcia, Fabian",2.0
n1090,"Tello, Edisson",3.0
n1090,"Alejandro Ramos, Freddy",4.0
n1090,"Umana, Adriana",5.0
n1090,"Puyana, Monica",6.0
n1090,"Resende, Jackson A. L. C.",7.0
n1090,"Castellanos, Leonardo",8.0
n1091,"Garcia, Alberto F.",1.0
n1091,"Manzano-Nunez, Ramiro",2.0
n1091,"Bayona, Juan Gabriel",3.0
n1091,"Millan, Mauricio",4.0
n1091,"Puyana, Juan C.",5.0
n1092,"Sanchez-Cotte, Edgar H.",1.0
n1092,"Pacheco-Bustos, Carlos Albeiro",2.0
n1092,"Fonseca, Ana",3.0
n1092,"Triana, Yaneth Pineda",4.0
n1092,"Mercado, Ronald",5.0
n1092,"Yepes-Martinez, Julian",6.0
n1092,"Lagares Espinoza, Ricardo Gabriel",7.0
n1093,"del Pilar Sanchez-Camargo, Andrea",1.0
n1093,"Gutierrez, Luis-Felipe",2.0
n1093,"Milena Vargas, Sandra",3.0
n1093,"Martinez-Correa, Hugo A.",4.0
n1093,"Parada-Alfonso, Fabian",5.0
n1093,"Narvaez-Cuenca, Carlos-Eduardo",6.0
n1094,"Franco, J. -S.",1.0
n1094,"Torres, L.",2.0
n1094,"Penuela, O.",3.0
n1094,"Forero, M. D. R.",4.0
n1094,"Rivera, M.",5.0
n1094,"Vizcaya, D.",6.0
n1095,"Santos-Moreno, Pedro",1.0
n1095,"Rodriguez-Florido, Fernando",2.0
n1095,"Carolina Buitrago-Garcia, Diana",3.0
n1095,"Sanchez-Vanegas, Guillermo",4.0
n1096,"Mancera-Soto, Erica Mabel",1.0
n1096,"Ramos-Caballero, Diana Marcela",2.0
n1096,"Cristancho, Edgar",3.0
n1096,"Schmidt, Walter",4.0
n1097,"Ossa Gomez, Carlos Andres",1.0
n1097,"Robledo Abad, Jose Fernando",2.0
n1097,"Duque, Alejandro",3.0
n1097,"Huertas, Ramiro",4.0
n1097,"Fidalgo, Ana Maria",5.0
n1097,"Rivas Taffur, Giovanna",6.0
n1097,"Caicedo Mallarino, Jose Joaquin",7.0
n1097,"Torres, Fabio",8.0
n1097,"Mantilla Duran, William Armando",9.0
n1097,"Abello, Virginia",10.0
n1097,"Miranda, Roberto N.",11.0
n1097,"Echeverri, Carolina",12.0
n1097,"Clemens, Mark Warren",13.0
n1098,"Pulido-Rodriguez, Esperanza",1.0
n1098,"Lopez-Camacho, Rene",2.0
n1098,"Torres, Juliana",3.0
n1098,"Velasco, Eduard",4.0
n1098,"Salgado-Negret, Beatriz",5.0
n1099,"Camilo Restrepo, Juan",1.0
n1099,"Higgins, Aldemar",2.0
n1099,"Escobar, Jaime",3.0
n1099,"Ospino, Silvio",4.0
n1099,"Hoyos, Natalia",5.0
n1100,"Ortega-Sierra, Michael Gregorio",1.0
n1100,"Charry-Caicedo, Jairo Ivan",2.0
n1100,"Orrego-Torres, Angelica Tatiana",3.0
n1100,"Rueda-Ibarra, Leonardo",4.0
n1100,"Lozada Martinez, Ivan David",5.0
n1101,"Rios, Alonso Rodriguez",1.0
n1101,"Rodriguez Rico, Milo Andres",2.0
n1102,"Rodriguez-Villamizar, Laura A.",1.0
n1102,"Carlos Belalcazar-Ceron, Luis",2.0
n1102,"Alfredo Fernandez-Nino, Julian",3.0
n1102,"Marcela Marin-Pineda, Diana",4.0
n1102,"Alberto Rojas-Sanchez, Oscar",5.0
n1102,"Alexandra Acuna-Merchan, Lizbeth",6.0
n1102,"Ramirez-Garcia, Nathaly",7.0
n1102,"Cecilia Mangones-Matos, Sonia",8.0
n1102,"Mario Vargas-Gonzalez, Jorge",9.0
n1102,"Herrera-Torres, Julian",10.0
n1102,"Milena Agudelo-Castaneda, Dayana",11.0
n1102,"Pineros Jimenez, Juan Gabriel",12.0
n1102,"Rojas-Roa, Nestor Y.",13.0
n1102,"Mauricio Herrera-Galindo, Victor",14.0
n1103,"Guadalupe Canizares-Hernandez, Tania",1.0
n1103,"Esthibel Gomez-Campo, Cristian",2.0
n1103,"Jesus Pardo-Calvache, Cesar",3.0
n1104,"Lopez, Claudia C.",1.0
n1104,"De Los Rios, Jose F.",2.0
n1104,"Gonzalez, Yenyffer",3.0
n1104,"Maria Vasquez-Trespalacios, Elsa",4.0
n1104,"Serna, Daniel",5.0
n1104,"Arango, Adriana",6.0
n1104,"Cifuentes, Carolina",7.0
n1104,"Vasquez, Ricardo",8.0
n1104,"Castaneda, Juan D.",9.0
n1104,"Almanza, Luis A.",10.0
n1104,"Jimenez, Luis A.",11.0
n1105,"Garcia Morales, O. M.",1.0
n1105,"Galindo, J. L.",2.0
n1105,"Gil Torres, P. R.",3.0
n1105,"Lutz, J. R.",4.0
n1106,"Giraldo Mejia, Juan Camilo",1.0
n1106,"Durango Vanegas, Claudia Elena",2.0
n1107,"Acevedo, Juan Javier",1.0
n1107,"Restrepo, Juliana",2.0
n1107,"Hernandez, Dary L.",3.0
n1107,"Oliveros, Ricardo",4.0
n1107,"Pinilla, Raul",5.0
n1108,"Castro-Castro, Johnatan D.",1.0
n1108,"Sanabria-Gonzalez, Nancy R.",2.0
n1108,"Giraldo-Gomez, Gloria I.",3.0
n1109,"Gracia C, Adriana",1.0
n1109,"Levin, Lisa A.",2.0
n1109,"Zea, Sven",3.0
n1110,"Augusto Lamus, Fabian",1.0
n1110,"Luis Linero, Dorian",2.0
n1110,"Dario Guevara, Ruben",3.0
n1111,"Cardona, Luisana",1.0
n1111,"Arias-Madrid, Daniela",2.0
n1111,"Cortes, Farid B.",3.0
n1111,"Lopera, Sergio H.",4.0
n1111,"Franco, Camilo A.",5.0
n1112,"Palacios-Chavarro, Janneth Arley",1.0
n1112,"Marroquin-Ciendua, Fernando",2.0
n1112,"Bohorquez-Lazdhaluz, Ricardo",3.0
n1113,"Quintero, Jose R.",1.0
n1113,"Arenas-Diaz, Gilberto",2.0
n1114,"De las Salas, R.",1.0
n1114,"Ahumada-Soto, V",2.0
n1114,"Arevalo-Carrascal, R.",3.0
n1114,"De La Cruz-Charris, K.",4.0
n1114,"Hernandez-Humanez, W.",5.0
n1114,"Munoz-Gomez, N.",6.0
n1114,"Ruiz-Romero, M.",7.0
n1115,"Fernando Baron, Luis",1.0
n1115,"Riascos, Catalina",2.0
n1116,"Cabrera, M.",1.0
n1116,"Villarreal, L.",2.0
n1116,"Buitrago-Garcia, D.",3.0
n1116,"Santos-Moreno, P.",4.0
n1117,"Gallego-Posada, J. D.",1.0
n1117,"Puerta-Yepes, M. E.",2.0
n1118,"Paez, Gustavo Nicolas",1.0
n1118,"Ceron, Juan Felipe",2.0
n1118,"Cortes, Santiago",3.0
n1118,"Quiroz, Adolfo J.",4.0
n1118,"Zea, Jose Fernando",5.0
n1118,"Franco, Camila",6.0
n1118,"Cruz, Erica",7.0
n1118,"Vargas, Gina",8.0
n1118,"Castaneda, Carlos",9.0
n1119,"Romel-Antonio, Perez-Romero",1.0
n1119,"Carlos, Espinosa-Leon",2.0
n1119,"Karem-Tatiana, Pinto-Rambauth",3.0
n1119,"Mauricio, Gutierrez-Benavides",4.0
n1120,"Muhoz Cruz, Luis M.",1.0
n1120,"Arcila Bastidas, Juan P.",2.0
n1120,"S Lopez Meneses, Iveth",3.0
n1120,"Delgado Echeverri, John J.",4.0
n1120,"Aparicio Rengifo, Reynaldo",5.0
n1120,"Perez Velasquez, Julian A.",6.0
n1121,"Patino, John A.",1.0
n1121,"Olivera, Mario J.",2.0
n1122,"Noriega-Rico, Efrain Antonio",1.0
n1122,"Caselles-Osorio, Aracelly",2.0
n1122,"Ortega Herrera, Adolfo",3.0
n1122,"Cerro Medina, Jaime",4.0
n1123,"Marulanda-Durango, J. J.",1.0
n1123,"Escobar-Mejia, A.",2.0
n1123,"Giraldo, E.",3.0
n1124,"Gutierrez, I. S.",1.0
n1124,"Torresblanca-Badillo, Anselmo",2.0
n1124,"Towers, David A.",3.0
n1125,"Luis Casas-Hinestroza, Jose",1.0
n1125,"Vela Suazo, Miguel Angel",2.0
n1125,"Maldonado Villamil, Mauricio",3.0
n1126,"Johanna Caro-Gamboa, Leidy",1.0
n1126,"Forero-Castro, Maribel",2.0
n1126,"Eugenia Dallo-Baez, Alix",3.0
n1127,"Moreno-Gomez, Jorge",1.0
n1127,"Gomez-Araujo, Eduardo",2.0
n1127,"Castillo-De Andreis, Rafael",3.0
n1128,"Diez Gomez, David Andres",1.0
n1128,"Rodriguez Cordoba, Maria del Pilar",2.0
n1129,"Herrera, Andres A.",1.0
n1129,"Raba, Bibiana",2.0
n1129,"Rodriguez, Gerardo",3.0
n1129,"Gil, Ivan D.",4.0
n1130,"Hernandez-Quirama, Andrea",1.0
n1130,"Caceres Manrique, Flor de Maria",2.0
n1130,"Linares Garcia, Johana",3.0
n1131,"Garay-Quintero, Leonardo",1.0
n1131,"Robayo-Pinzon, Oscar",2.0
n1131,"Rojas-Berrio, Sandra",3.0
n1132,"Naranjo, Juan P.",1.0
n1132,"Torres, Mauricio",2.0
n1132,"Alberto Quijano-Abril, Mario",3.0
n1133,"Quintero Angel, Mauricio",1.0
n1134,"Medina, A. M.",1.0
n1134,"Vargas, J. V.",2.0
n1134,"Florez, A. F.",3.0
n1134,"Coy, A.",4.0
n1134,"Concha, D. C.",5.0
n1135,"Parrado Pardo, Erika Paola",1.0
n1135,"Jaramillo Marin, Jefferson",2.0
n1136,"Salomon Montes-Arcon, Pablo",1.0
n1136,"Campo-Arias, Adalberto",2.0
n1137,"Suarez Acevedo, Camila",1.0
n1137,"Perez Jimenez, Miguel Angel",2.0
n1138,"Buitrago-Garcia, D.",1.0
n1138,"Mendez, I.",2.0
n1138,"Rodriguez, F.",3.0
n1138,"Villarreal, L.",4.0
n1138,"Santos-Moreno, P.",5.0
n1139,"Edith Ochoa-Guevara, Nancy",1.0
n1139,"Augusto Rios-Suarez, Javier",2.0
n1139,"Galvez Garcia, Laura Esperanza",3.0
n1139,"Henry Ramirez-Arevalo, Helio",4.0
n1140,"Viveros-Carreno, David",1.0
n1140,"Rodriguez, Juliana",2.0
n1140,"Pareja, Rene",3.0
n1141,"Devia Jaramillo, German",1.0
n1141,"Ibanez Pinilla, Milciades",2.0
n1142,"Rivera-Chaverra, Maria J.",1.0
n1142,"Restrepo-Parra, Elisabeth",2.0
n1142,"Acosta-Medina, Carlos D.",3.0
n1142,"Mello, Alexandre",4.0
n1142,"Ospina, Rogelio",5.0
n1143,"Garzon-Orjuela, Nathaly",1.0
n1143,"Prieto-Pinto, Laura",2.0
n1143,"Lasalvia, Pieralessandro",3.0
n1143,"Herrera, Daniel",4.0
n1143,"Castrillon, Johanna",5.0
n1143,"Gonzalez-Bravo, Diana",6.0
n1143,"Castaneda-Cardona, Camilo",7.0
n1143,"Rosselli, Diego",8.0
n1144,"Llinas-Quintero, Nestor",1.0
n1144,"Gonzalez-Hoyos, David",2.0
n1144,"Yepes, Andres",3.0
n1144,"Herrera, Diego A.",4.0
n1144,"Pelaez-Arroyave, Sebastian",5.0
n1144,"Caicedo-Zamudio, Carlos",6.0
n1144,"Blanco-Daza, Erick",7.0
n1144,"Cuello-Lopez, Javier",8.0
n1145,"Villa-Tamayo, Maria F.",1.0
n1145,"Anelone, Anet J. N.",2.0
n1145,"Rivadeneira, Pablo S.",3.0
n1146,"Orozco Villa, Edisson Orlando",1.0
n1147,"Mejia Buritica, Leonardo",1.0
n1147,"Zapata Alvarez, Jesus",2.0
n1147,"Vergara Quintero, Lissette",3.0
n1147,"Villegas Molina, Juan Pablo",4.0
n1147,"Torres Hernandez, Jose Domingo",5.0
n1148,"Gonzalez-Valencia, Juanita",1.0
n1148,"David Gomez-Corrales, Juan",2.0
n1148,"Roman-Gonzalez, Alejandro",3.0
n1149,"Ramirez-Gallego, Cristian",1.0
n1149,"Barrientos-Munoz, Karla G.",2.0
n1150,"Cortes Arevalo, Olivia",1.0
n1150,"Herrera Perez, Jhan Carlos",2.0
n1151,"Jacob-Lozano, Florina",1.0
n1151,"Angela Echeverry-Galvis, Maria",2.0
n1152,"Estrada Orrego, Victoria",1.0
n1152,"Marquez Valderrama, Jorge",2.0
n1153,"Salazar-Llano, Lorena",1.0
n1153,"Bayona-Roa, Camilo",2.0
n1154,"Ramirez-Pelayo, Cesar",1.0
n1154,"Martinez-Quinones, Janio",2.0
n1154,"Gil, Jesus",3.0
n1154,"Durango, Diego",4.0
n1155,"Meza-Sepulveda, Diana C.",1.0
n1155,"Castro, Ana M.",2.0
n1155,"Zamora, Annie",3.0
n1155,"Arboleda, Jorge W.",4.0
n1155,"Gallego, Adriana M.",5.0
n1155,"Camargo-Rodriguez, Anyela V.",6.0
n1156,"Olaya-Galan, Nury N.",1.0
n1156,"Salas-Cardenas, Sandra P.",2.0
n1156,"Rodriguez-Sarmiento, Jorge L.",3.0
n1156,"Ibanez-Pinilla, Milciades",4.0
n1156,"Monroy, Ricardo",5.0
