NR,AU,AUNR
n56,"Esguerra Pardo, Nicolas Boris",1.0
n56,"Tejeiro Sarmiento, Clemencia",2.0
n57,"de Vengoechea, Consuelo",1.0
n57,"Sofia Venegas, Camila",2.0
n57,"Andres Cardenas, Christian",3.0
n58,"Marin, A.",1.0
n58,"Hernandez, J. A. R.",2.0
n58,"Jimenez, J. A.",3.0
n59,"Sanjuanelo Ortiz, Jose",1.0
n60,"Perez Rivera, Hesper Eduardo",1.0
n60,"Esguerra Pardo, Nicolas Boris",2.0
n61,"Vargas, Stefan",1.0
n61,"Rodriguez, Diego",2.0
n61,"Rivera, Sergio",3.0
n62,"Aparicio-Ortube, Alan",1.0
n62,"Viviana Camelo-Espinosa, Lizeth",2.0
n62,"Mario Henao-Yepes, Carlos",3.0
n62,"Maria Londono-Lujan, Ana",4.0
n62,"Carolina Salgado-Correa, Eileen",5.0
n62,"Camila Sierra-Hernandez, Maria",6.0
n62,"Danilo Vanegas-Chaverra, Eduard",7.0
n62,"Valencia-Gonzalez, Yamile",8.0
n63,"Bolano-Pena, Melissa",1.0
n63,"Mejia-Escalante, Monica",2.0
n64,"Chavez Munoz, Nelson Manolo",1.0
n64,"Rios Hernandez, Hector Fabio",2.0
n64,"Carmona Munoz, Diana Milena",3.0
n65,"Andres Mosquera, Oscar",1.0
n65,"Libia Cardenas, Melba",2.0
n65,"Claudia Nieto, Maria",3.0
n66,"Acevedo Gomez, Daniel",1.0
n66,"Macias Tolosa, Andres",2.0
n67,"Valencia Villegas, Juan Pablo",1.0
n67,"Gonzalez Mesa, Ana Maria",2.0
n67,"Arbelaez Perez, Oscar Felipe",3.0
n68,"Avendano-Fernandez, Eduardo",1.0
n68,"Granada-Torres, Jhon J.",2.0
n68,"Cardenas-Soto, Ana M.",3.0
n68,"Guerrero-Gonzalez, Neil",4.0
n69,"Andres Perez-Garzon, Carlos",1.0
n70,"Cruz Rodriguez, Edwin",1.0
n71,"Sanchez, Yuly E.",1.0
n71,"Helena Ramirez, Maria",2.0
n71,"Gomez, Elsa J.",3.0
n72,"Pineda Zapata, Maria Isabel",1.0
n73,"Patino Villa, Carlos Alberto",1.0
n74,"Andres Montoya, J.",1.0
n74,"Mejia, Carolina",2.0
n74,"Bourdon, Ruben D.",3.0
n74,"Cruz, Elkin",4.0
n74,"Agreda, Jesus",5.0
n75,"Parra Sanabria, Erika Alexandra",1.0
n75,"Pena Vega, Claudia Patricia",2.0
n76,"Ludym, Jaimes C.",1.0
n76,"Marianela, Luzardo B.",2.0
n76,"Miguel, Rojas D.",3.0
n77,"Perez Cagua, Ingri Natalia",1.0
n77,"Navas-Camargo, Fernanda",2.0
n78,"Galindo Leon, Pedro Elias",1.0
n79,"Ballen Jaime, Carlos Felipe",1.0
n80,"Marcano-Caldera, Maytte",1.0
n80,"Luis Mejia-Cardona, Jose",2.0
n80,"Parra Sanchez, Jose Hernan",3.0
n80,"Mendez de la Espriella, Catalina",4.0
n80,"Covo Morales, Eduardo",5.0
n80,"Sierra Varon, Gustavo",6.0
n80,"Gomez Diaz, Martha",7.0
n80,"Fortich Mesa, Natalia",8.0
n80,"Escobar Villegas, Paola",9.0
n80,"Bermudez Reyes, Patricia",10.0
n80,"Rodriguez Sanchez, Patricia",11.0
n80,"Mejia Fernandez, Pedro",12.0
n80,"Angela Gomez-Scarpetta, Ruth",13.0
n80,"Bernal Alfaro, Vanessa",14.0
n80,"Cifuentes Aguirre, Olga Lucia",15.0
n80,"Lopez Soto, Olga Patricia",16.0
n80,"Sigurdsson, Asgeir",17.0
n81,"Llanez Anaya, Helmer Fernando",1.0
n82,"Ardila, Raquel Sanmiguel",1.0
n82,"Angel, Monique Schoch",2.0
n82,"Loaiza-Camacho, Bryan Steven",3.0
n83,"Bonilla Sanabria, Fabio Andres",1.0
n83,"Franco Zarate, Javier",2.0
n84,"Bedoya Franco, Paula Andrea",1.0
n84,"Cristancho Giraldo, Laura Andrea",2.0
n85,"Melgarejo Moreno, Lizeth Natalia",1.0
n85,"Suarez Velasquez, Andrea Marcela",2.0
n85,"Fuentes Francia, Andres Leonardo",3.0
n86,"Donato-Rondon, Jhon Ch.",1.0
n86,"David Gonzalez-Trujillo, Juan",2.0
n86,"Romero, Buendy",3.0
n86,"Castro-Rebolledo, Maria I.",4.0
n87,"Fidalgo, Hernando Salcedo",1.0
n87,"Morales, Juan Carlos",2.0
n88,"Caballero Martinez, Jhon",1.0
n89,"Jimenez Benitez, William Guillermo",1.0
n89,"Meneses Quintana, Orlando",2.0
n90,"Tribin Uribe, Ana Maria",1.0
n90,"Vargas, Carmina O.",2.0
n90,"Ramirez Bustamante, Natalia",3.0
n91,"Armenta Gamez, Yurainys Elen",1.0
n91,"Amezquita Garcia, Laura Sofia",2.0
n91,"Atara Cabarcas, Luis Alejandro",3.0
n91,"Figueroa Villadiego, Ivan Dario",4.0
n91,"Miranda Gutierrez, Dayana Lorena",5.0
n91,"Pitre Pinto, Ines Dalia de Jesus",6.0
n91,"Martinez Navarro, Eliezer",7.0
n92,"Patricia Perez-Rodriguez, Claudia",1.0
n92,"Angelica Torres-Aya, Fanny",2.0
n92,"Eduardo Naranjo-Castillo, Jose",3.0
n92,"Esteban Jaimes-Quinones, Alejandro",4.0
n92,"Andres Anzola-Rodriguez, Ricardo",5.0
n93,"Vesga, Jasmin I.",1.0
n93,"Cepeda, Edilberto",2.0
n93,"Pardo, Campo E.",3.0
n93,"Paez, Sergio",4.0
n93,"Sanchez, Ricardo",5.0
n93,"Sanabria, Rafael M.",6.0
n94,"Robayo Corredor, Alejandro",1.0
n94,"Julieth Escobar, Greys",2.0
n95,"Agudelo, Nicolas Rozo",1.0
n95,"Saldana Espinel, Laura Estefania",2.0
n95,"Patino Benavidez, Andres Felipe",3.0
n95,"Gamboa Garay, Oscar Andres",4.0
n95,"Buitrago, Giancarlo",5.0
n96,"Marquez Valderrama, Jorge",1.0
n96,"Estrada Orrego, Victoria",2.0
n97,"Salazar Guatibonza, Flor Esther",1.0
n98,"Alberto Toro-Tobar, Ronald",1.0
n98,"Vanessa Beltran-Aguirre, Kerly",2.0
n98,"Jimena Gonzalez-Gomez, Laura",3.0
n98,"Paola Sabogal-Mancipe, Angela",4.0
n98,"Reyes-Parra, Karolina",5.0
n98,"Mery Guerrero-Ortiz, Luz",6.0
n99,"Diaz-Alarcon, J. A.",1.0
n99,"Alfonso-Perez, M. P.",2.0
n99,"Vergara-Gomez, I",3.0
n99,"Diaz-Lagos, M.",4.0
n99,"Martinez-Ovalle, S. A.",5.0
n100,"Tovar Pinzon, Hermes",1.0
n101,"Prieto Taborda, Maria Amparo",1.0
n101,"Bermon Angarita, Leonardo",2.0
n101,"Ramirez Castaneda, Luz Arabany",3.0
n102,"Herrera-Amaya, Giomar",1.0
n102,"Mannque-Abril, Fred",2.0
n103,"Namen Baquero, David",1.0
n104,"Torres-Tovar, Carlos Alberto",1.0
n104,"Perez-Cardozo, Gabriela Stephanie",2.0
n105,"Morales Pacavita, Olga Sofia",1.0
n105,"Leguizamon Gonzalez, Myriam Cecilia",2.0
n106,"Esteban Martinez, Santiago",1.0
n107,"Gamboa Bernarl, Janna Paola",1.0
n107,"Moreno Mantilla, Carlos Eduardo",2.0
n107,"Orjuela Castro, Javier Arturo",3.0
n108,"Cardenas, Maria Fernanda",1.0
n108,"Giraldo-Ospina, Tania",2.0
n109,"Martinez Martin, Abel Fernando",1.0
n109,"Otalora Cascante, Andres Ricardo",2.0
n110,"Numpaque Acosta, Galo Christian",1.0
n110,"Numpaque Acosta, Andrea Maria",2.0
n110,"Alarcon Cepeda, Milena",3.0
n111,"Moreno Garcia, Santiago",1.0
n111,"Rodriguez Vergara, Dayany Carolina",2.0
n111,"Parrado Patino, Andres Felipe",3.0
n111,"Castellanos Aza, Juan Sebastian",4.0
n111,"Mora Herrera, Kiliam David",5.0
n112,"Idarraga Vallejo, Diana Minerva",1.0
n112,"Carvajal Orozco, Jose Gabriel",2.0
n113,"Mondragon Duarte, Sergio Luis",1.0
n113,"Guzman Quintero, Aldemar",2.0
n113,"Perez Medina, Andres Gustavo",3.0
n114,"Figueroa-Triana, Juan F.",1.0
n114,"Mora-Pabon, Guillermo",2.0
n114,"Quitian-Moreno, Jerson",3.0
n114,"Alvarez-Gaviria, Manuel",4.0
n114,"Idrovo, Carolina",5.0
n114,"Cabrera, Juan Sebastian",6.0
n114,"Penuela, Jose Alejandro Ramirez",7.0
n114,"Caballero, Yuldor",8.0
n114,"Naranjo, Melissa",9.0
n115,"Jaramillo-Echeverri, Juliana",1.0
n115,"Meisel-Roca, Adolfo",2.0
n115,"Teresa Ramirez-Giraldo, Maria",3.0
n116,"Cadena Aguilar, Roso Freddy",1.0
n116,"Ortega Cuellar, Javier Hernando",2.0
n116,"Cadena Aguilar, Albedro",3.0
n117,"Posada-Morales, Juan-Esteban",1.0
n118,"Camargo Camargo, Yeimy",1.0
n118,"Casas-Miranda, Rigoberto A.",2.0
n119,"Esquivel Garzon, Natalia",1.0
n119,"Diaz Heredia, Luz Patricia",2.0
n119,"Canon Montanez, Wilson",3.0
n120,"Vargas Reyes, Bryan",1.0
n120,"Ariza Santamaria, Rosembert",2.0
n121,"Hernandez, Jenny Paola Garzon",1.0
n121,"Moreno, Alexander Pabon",2.0
n121,"Vesga, Rafael Esteban Gonzalez",3.0
n121,"Rodriguez, Luis Guillermo Uribe",4.0
n121,"Sieger, Federico Arturo Silva",5.0
n122,"Bonilla-Santos, J.",1.0
n122,"Calceto-Garavito, L. N.",2.0
n122,"Cala-Martinez, D. Y.",3.0
n122,"Gonzalez-Hernandez, A.",4.0
n123,"Arevalo Pereira, Kenndy M.",1.0
n123,"Junca, Edgar G.",2.0
n123,"Caycedo, Ruben S.",3.0
n123,"Gaitan, Hernando G.",4.0
n123,"Moyano, Juan S.",5.0
n123,"Patino, Andres F.",6.0
n123,"Buitrago, Giancarlo",7.0
n124,"Lopez Munoz, Liliana",1.0
n124,"Fernandez Martinez, Yina Patricia",2.0
n124,"Torres Merchan, Ana Maria",3.0
n124,"Cardona Jaramillo, Fabiana",4.0
n124,"Lemos Hoyos, Mariantonia",5.0
n125,"Maria Mosquera-Ayala, Ana",1.0
n126,"Camilo Molina-Villegas, Juan",1.0
n126,"Ballesteros Ortega, Jorge Eliecer",2.0
n126,"Quintero Toro, Andres Camilo",3.0
n127,"Cruz Rodriguez, Michael",1.0
n128,"David Arevalo, Juan",1.0
n128,"Cesar Vargas, Julio",2.0
n128,"Fernando Cordoba, Luis",3.0
n129,"Marrugo Pardo, Gilberto E.",1.0
